AAPL,AMZN,MSFT
-1,-1,-1
1,1,1
1,-1,-1
-1,-1,-1
-1,-1,-1
1,1,-1
-1,-1,-1
1,1,1
1,1,1
1,1,1
1,1,1
-1,-1,1
1,1,1
1,1,1
1,1,1
-1,-1,1
1,1,1
-1,-1,-1
-1,1,1
-1,-1,-1
1,1,1
1,1,1
1,1,1
1,1,1
-1,1,1
-1,1,-1
1,-1,-1
-1,-1,-1
-1,1,-1
1,1,-1
-1,1,-1
1,1,1
-1,-1,-1
-1,1,-1
1,-1,-1
-1,1,1
1,1,1
1,1,1
1,1,1
1,-1,-1
-1,-1,-1
-1,1,1
1,1,-1
1,-1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
-1,1,-1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,-1
1,1,1
1,1,1
1,1,1
1,1,1
-1,1,1
1,1,-1
1,1,1
1,1,1
1,1,-1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,-1,-1
-1,1,1
-1,-1,-1
1,1,1
1,1,-1
1,1,1
1,1,1
-1,-1,1
1,-1,-1
-1,1,1
1,1,1
1,1,1
1,1,1
1,-1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,-1,1
1,-1,1
1,-1,1
-1,1,1
1,-1,-1
1,-1,-1
1,-1,1
1,-1,-1
1,-1,1
1,-1,1
1,-1,-1
-1,-1,-1
